Primary category name,Secondary category name,Tertiary category name,attribute,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,,
Baby clothing,Children's wear,camisole,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,camisole,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's dress,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Children's dress,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's dress,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's dress,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's dress,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Children's dress,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's socks,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Children's socks,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's socks,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's socks,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's socks,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Children's socks,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's bathing suit / pants / cap,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Children's bathing suit / pants / cap,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's bathing suit / pants / cap,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's bathing suit / pants / cap,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Children's bathing suit / pants / cap,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Children's bathing suit / pants / cap,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Harem pants / bloomers,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Harem pants / bloomers,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Harem pants / bloomers,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Harem pants / bloomers,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Harem pants / bloomers,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Harem pants / bloomers,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket/leather,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Jacket/leather,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket/leather,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket/leather,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket/leather,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Jacket/leather,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Vest,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Vest,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Vest,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Vest,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Vest,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Vest,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater/sweater,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Sweater/sweater,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater/sweater,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater/sweater,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater/sweater,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Sweater/sweater,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cotton jacket/cotton clothing,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Cotton jacket/cotton clothing,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cotton jacket/cotton clothing,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cotton jacket/cotton clothing,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cotton jacket/cotton clothing,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Cotton jacket/cotton clothing,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Coat/windbreaker,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Coat/windbreaker,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Coat/windbreaker,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Coat/windbreaker,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Coat/windbreaker,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Coat/windbreaker,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,jeans,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,jeans,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,jeans,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,jeans,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,jeans,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,jeans,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cloak/cloak,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Cloak/cloak,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cloak/cloak,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cloak/cloak,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cloak/cloak,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Cloak/cloak,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other tops (to be deleted),Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Other tops (to be deleted),style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other tops (to be deleted),gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other tops (to be deleted),pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other tops (to be deleted),color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Other tops (to be deleted),Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other suits,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Other suits,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other suits,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other suits,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other suits,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Other suits,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other bottoms,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Other bottoms,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other bottoms,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other bottoms,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Other bottoms,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Other bottoms,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cheongsam / dance dress / costume / dress,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Cheongsam / dance dress / costume / dress,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cheongsam / dance dress / costume / dress,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cheongsam / dance dress / costume / dress,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Cheongsam / dance dress / costume / dress,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Cheongsam / dance dress / costume / dress,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket / cardigan,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Jacket / cardigan,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket / cardigan,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket / cardigan,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Jacket / cardigan,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Jacket / cardigan,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater / Fleece,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Sweater / Fleece,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater / Fleece,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater / Fleece,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweater / Fleece,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Sweater / Fleece,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Suit/small suit,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Suit/small suit,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Suit/small suit,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Suit/small suit,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Suit/small suit,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Suit/small suit,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,casual pants,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,casual pants,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,casual pants,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,casual pants,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,casual pants,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,casual pants,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Down jacket / down liner,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Down jacket / down liner,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Down jacket / down liner,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Down jacket / down liner,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Down jacket / down liner,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Down jacket / down liner,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweatpants,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,Sweatpants,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweatpants,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweatpants,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,Sweatpants,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,Sweatpants,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,sportswear,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's wear,sportswear,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,sportswear,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,sportswear,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's wear,sportswear,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's wear,sportswear,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Baby wear,Sweater/sweater,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Baby wear,Sweater/sweater,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Baby wear,Sweater/sweater,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Baby wear,Sweater/sweater,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Baby wear,Sweater/sweater,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Baby wear,Sweater/sweater,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Baby wear,Cloak/cloak,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Baby wear,Cloak/cloak,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Baby wear,Cloak/cloak,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
