一级类目名称,二级类目名称,三级类目名称,属性,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶把/手柄,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶把/手柄,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶把/手柄,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶把/手柄,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶干燥架,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶干燥架,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶干燥架,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶干燥架,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶盒,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶盒,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶盒,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶盒,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶夹,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶夹,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶夹,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶夹,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶刷/奶嘴刷,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶刷/奶嘴刷,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶刷/奶嘴刷,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶刷/奶嘴刷,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶温度计,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶温度计,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶温度计,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶瓶温度计,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴/安抚奶嘴,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴/安抚奶嘴,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴/安抚奶嘴,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴/安抚奶嘴,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴盒,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴盒,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴盒,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,奶嘴盒,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,吸管,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,吸管,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,奶瓶/奶瓶相关,吸管,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,奶瓶/奶瓶相关,吸管,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,其他婴童用品,其他婴童用品,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,其他婴童用品,其他婴童用品,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,其他婴童用品,其他婴童用品,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,其他婴童用品,其他婴童用品,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,奶瓶果蔬清洗液,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,奶瓶果蔬清洗液,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,奶瓶果蔬清洗液,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,清洁液/衣物护理,奶瓶果蔬清洗液,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,清洁液/衣物护理,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,清洁液/衣物护理,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,清洁液/衣物护理,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,清洁液/衣物护理,清洁液/衣物护理,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,柔顺剂,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,柔顺剂,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,柔顺剂,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,清洁液/衣物护理,柔顺剂,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,洗衣粉,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,洗衣粉,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,洗衣粉,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,清洁液/衣物护理,洗衣粉,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,洗衣液,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,洗衣液,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,清洁液/衣物护理,洗衣液,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,清洁液/衣物护理,洗衣液,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,金水,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,金水,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,金水,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,驱蚊退烧用品,金水,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,驱蚊防虫,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,驱蚊防虫,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,驱蚊防虫,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,驱蚊退烧用品,驱蚊防虫,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,退热贴,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,退热贴,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,驱蚊退烧用品,退热贴,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,驱蚊退烧用品,退热贴,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,耳勺,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,耳勺,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,耳勺,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,耳勺,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,防护口罩,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,防护口罩,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,防护口罩,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,防护口罩,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,护脐贴,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,护脐贴,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,护脐贴,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,护脐贴,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,剪刀/指甲剪,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,剪刀/指甲剪,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,剪刀/指甲剪,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,剪刀/指甲剪,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,理发器,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,理发器,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,理发器,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,理发器,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,理发围布,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,理发围布,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,理发围布,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,理发围布,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,马桶盖,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,马桶盖,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,马桶盖,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,马桶盖,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,棉棒/棉签,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,棉棒/棉签,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,棉棒/棉签,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,棉棒/棉签,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,尿布桶,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,尿布桶,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,尿布桶,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,尿布桶,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,其他日用,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,其他日用,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,其他日用,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,其他日用,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,清洁镊子,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,清洁镊子,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,清洁镊子,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,清洁镊子,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,身高尺,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,身高尺,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,身高尺,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,身高尺,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,湿度计/室温计,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,湿度计/室温计,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,湿度计/室温计,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,湿度计/室温计,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,湿巾加热器,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,湿巾加热器,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,湿巾加热器,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,湿巾加热器,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,梳子,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,梳子,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,梳子,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,梳子,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,体温计/枪,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,体温计/枪,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,体温计/枪,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,体温计/枪,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,吸鼻器,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,吸鼻器,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,吸鼻器,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童用品,日常护理,吸鼻器,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,婴儿电吹风,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童用品,日常护理,婴儿电吹风,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
